headline,author,source,date,wordcount,permalink,decade
Possible new role for National Wage Council,,Business Times,10 December 1984,417,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19841210-1.2.33.aspx,80
Lim Chong Yah still at helm of wages council,Boey Kit Yin,Business Times,19 February 1985,604,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19850219-1.2.37.aspx,80
NWC unlikely to raise workers' take-home pay,Yong Pow Ang,Sunday monitor,19 May 1985,396,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/singmonitor19850519-1.2.5.aspx,80
NWC: Lower-income earners will get more,,The Sunday Times,19 May 1985,487,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19850519-1.2.20.1.aspx,80
Wage guide on line,Zhou Mei,Business Times,22 May 1985,1320,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19850522-1.2.27.2.aspx,80
Industrial and Commercial Bank of Singapore has held its (31st) AGM.,,Business Times Singapore,28 May 1985,112,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011205dh5s004n0&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
Major ICB holder demands replacement of director,Alvin Tay,Business Times,29 May 1985,1066,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19850529-1.2.38.aspx,80
No NWC guidelines from next year,Ahmad Osman,Straits Times,23 September 1985,924,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19850923-1.2.2.aspx ,80
NWC has fulfilled role as crutch in wage bargaining,,Straits Times,23 September 1985,1193,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19850923-1.2.35.2.aspx,80
NWC: Its past success and future direction,P. N. Balji and Ivan Lim,Straits Times,30 September 1985,3344,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19850930-1.2.33.aspx,80
NWC calls for closer study,Ivan Lim,Straits Times,9 October 1985,357,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19851009-1.2.80.aspx,80
Radical changes to CPF urged,Edmund Wee and Catherine C. Ong,Straits Times,15 November 1985,816,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19851115-1.2.2.aspx,80
Recession caused partly by construction push,,Business Times,21 November 1985,828,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19851121-1.2.24.3.aspx,80
Debate next week,,Straits Times,22 February 1986,810,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19860222-1.2.21.22.aspx,80
Who's who in the council,,Straits Times,25 April 1986,372,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19860425-1.2.24.15.aspx,80
Cowec scheme is in a tight spot,,Business Times,29 May 1986,1551,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19860529-1.2.22.2.aspx,80
Benefits hold key to Cowec's survival,,Straits Times,4 June 1986,1270,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19860604-1.2.35.5.aspx,80
"Plan welcome, but some feel $200 is too little",,Straits Times,31 July 1986,856,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19860731-1.2.278.aspx,80
When intervention is lauded,Zhou Mei,Business Times,2 September 1986,2371,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19860902-1.2.23.2.aspx,80
Look East for lessons to cure American disease,,Straits Times,2 September 1986,1970,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19890902-1.2.47.1.aspx,80
Look East for lessons to cure the American disease,Harvey C. Bunke,Straits Times,2 September 1986,1821,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050603dl92008k1&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
One more year of restraint to get back on growth path,,Straits Times,25 May 1987,2006,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19870525-1.2.31.5.aspx,80
Considering alternatives in economic policies,Zhou Mei,Business Times,13 January 1988,1069,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19880113-1.2.31.2.aspx,80
NUS economists on S'pore's winning formula,,Straits Times,13 January 1988,1714,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19880113-1.2.27.3.aspx,80
ways of Dragon,Chuang Peck Meng,Business Times,17 February 1988,2621,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19880217-1.2.21.2.aspx,80
magical formulae that transformed Taiwan,Zhou Mei,Business Times,13 April 1988,1549,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19880413-1.2.28.2.aspx,80
NUS don calls for use of CPF to start a business,,Straits times,13 April 1988,342,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19880413-1.2.44.aspx,80
NWC: Pay as well as last year's 8.2%,,Straits Times,3 June 1989,897,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19890603-1.2.2.aspx,80
Singapore to be secretariat for Pacific economic group.,,Business Times Singapore,21 September 1989,364,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011129dl9l00gu1&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
Where regionalism meets internationalism,Zhou Mei,Business Times,21 September 1989,1715,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19890921-1.2.25.2.aspx,80
"NWC is not needed, says visiting economist",Patrick Daniel,Straits Times,14 November 1989,668,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050805dlbe0075e&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
Telling the S'pore story to a wider audience,Patrick Daniel,Straits Times,14 November 1989,1343,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050805dlbe00735&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
Access to power and accountability : Twin challenges for Confucianism,,Straits Times,9 January 1990,568,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm19001w8&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
East Asia better model than West for China : Economist,Cheng Shoong Tat,Straits Times,11 January 1990,708,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm1b00257&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
'Confucian values helped in '85 recession',,Straits Times,13 January 1990,658,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm1d00ctb&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Kenneth James.<He can probably take comfort from the fact that the govern…,,Business Times Singapore,2 March 1990,794,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011127dm32006px&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC seeks views of the public on wage guidelines,,Straits Times,1 April 1990,274,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm41002wq&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC guidelines unlikely to have major changes.,Anna Teo,Business Times Singapore,22 May 1990,362,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011128dm5m004hw&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC to announce this year's wage guidelines next week,Koh Buck Song,Straits Times,24 May 1990,571,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm5o008lx&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Let built-in pay rise trail productivity growth: NWC.,Yong Pow Ang,Business Times Singapore,29 May 1990,629,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011128dm5t005w1&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC acts to help Singapore compete,Steven Pak,Straits Times,29 May 1990,1003,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm5t00939&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC on target with call for checks on built-in increases,Shaun Seow,Straits Times,29 May 1990,868,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050711dm5t0094r&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
